"Condition","Group","Organ","Query","Celltype","predicted_cell_type","match","explanation"
"All","Liver","Digestive","noquery","macrophage","Kupffer Cells","Partial Match","Kupffer cells are a liver-specific type of macrophage."
"All","Liver","Digestive","query","macrophage","Can't Identify","No Match","The prediction did not identify macrophages."
"Group","Liver","Digestive","noquery","macrophage","Kupffer Cells","Partial Match","Kupffer cells are a liver-specific type of macrophage."
"Group","Liver","Digestive","query","macrophage","Kupffer Cells","Partial Match","Kupffer cells are a liver-specific type of macrophage."
"Organ","Liver","Digestive","noquery","macrophage","Myeloid-derived suppressor cells","Partial Match","Myeloid-derived suppressor cells can include macrophage states."
"Organ","Liver","Digestive","query","macrophage","Myeloid-derived suppressor cells","Partial Match","Myeloid-derived suppressor cells can include macrophage states."
"All","Liver","Digestive","noquery","monocyte","Can't Identify","No Match","The prediction did not identify monocytes."
"All","Liver","Digestive","query","monocyte","Can't Identify","No Match","The prediction did not identify monocytes."
"Group","Liver","Digestive","noquery","monocyte","Can't Identify","No Match","The prediction did not identify monocytes."
"Group","Liver","Digestive","query","monocyte","Can't Identify","No Match","The prediction did not identify monocytes."
"Organ","Liver","Digestive","noquery","monocyte","Can't Identify","No Match","The prediction fails to specify any cell type for monocytes."
"Organ","Liver","Digestive","query","monocyte","Can't Identify","No Match","The prediction fails to specify any cell type for monocytes."
"All","Liver","Digestive","noquery","endothelial cell of hepatic sinusoid","Can't Identify","No Match","The prediction fails to specify any cell type for endothelial cells."
"All","Liver","Digestive","query","endothelial cell of hepatic sinusoid","Can't Identify","No Match","The prediction fails to specify any cell type for endothelial cells."
"Group","Liver","Digestive","noquery","endothelial cell of hepatic sinusoid","Can't Identify","No Match","The prediction fails to specify any cell type for endothelial cells."
"Group","Liver","Digestive","query","endothelial cell of hepatic sinusoid","Can't Identify","No Match","The prediction fails to specify any cell type for endothelial cells."
"Organ","Liver","Digestive","noquery","endothelial cell of hepatic sinusoid","Can't Identify","No Match","The prediction fails to specify any cell type for endothelial cells."
"Organ","Liver","Digestive","query","endothelial cell of hepatic sinusoid","Can't Identify","No Match","The prediction fails to specify any cell type for endothelial cells."
"All","Liver","Digestive","noquery","liver dendritic cell","Can't Identify","No Match","The prediction fails to specify any cell type for liver dendritic cells."
"All","Liver","Digestive","query","liver dendritic cell","Can't Identify","No Match","The prediction fails to specify any cell type for liver dendritic cells."
"Group","Liver","Digestive","noquery","liver dendritic cell","Can't Identify","No Match","Prediction fails to identify any cell type related to liver dendritic cells."
"Group","Liver","Digestive","query","liver dendritic cell","Can't Identify","No Match","Prediction fails to identify any cell type related to liver dendritic cells."
"Organ","Liver","Digestive","noquery","liver dendritic cell","Can't Identify","No Match","Prediction fails to identify any cell type related to liver dendritic cells."
"Organ","Liver","Digestive","query","liver dendritic cell","Can't Identify","No Match","Prediction fails to identify any cell type related to liver dendritic cells."
"All","Liver","Digestive","noquery","nk cell","Hepatocytes","No Match","NK cells and hepatocytes are entirely different cell types."
"All","Liver","Digestive","query","nk cell","Hepatocytes","No Match","NK cells and hepatocytes are entirely different cell types."
"Group","Liver","Digestive","noquery","nk cell","Natural Killer Cells","Match","The predicted term 'Natural Killer Cells' directly refers to 'NK cells'."
"Group","Liver","Digestive","query","nk cell","Natural Killer Cells","Match","The predicted term 'Natural Killer Cells' directly refers to 'NK cells'."
"Organ","Liver","Digestive","noquery","nk cell","Can't Identify","No Match","Prediction fails to identify any cell type related to NK cells."
"Organ","Liver","Digestive","query","nk cell","Can't Identify","No Match","Prediction fails to identify any cell type related to NK cells."
"All","Liver","Digestive","noquery","fibroblast","Can't Identify","No Match","The actual cell type is specific, but the prediction is not identifiable."
"All","Liver","Digestive","query","fibroblast","Can't Identify","No Match","The actual cell type is specific, but the prediction is not identifiable."
"Group","Liver","Digestive","noquery","fibroblast","Can't Identify","No Match","The actual cell type is specific, but the prediction is not identifiable."
"Group","Liver","Digestive","query","fibroblast","Can't Identify","No Match","The actual cell type is specific, but the prediction is not identifiable."
"Organ","Liver","Digestive","noquery","fibroblast","Can't Identify","No Match","The actual cell type is specific, but the prediction is not identifiable."
"Organ","Liver","Digestive","query","fibroblast","Can't Identify","No Match","The actual cell type is specific, but the prediction is not identifiable."
"All","Liver","Digestive","noquery","hepatocyte","Hepatocytes","Match","Both terms refer to the same type of liver cells."
"All","Liver","Digestive","query","hepatocyte","Hepatocytes","Match","Both terms refer to the same type of liver cells."
"Group","Liver","Digestive","noquery","hepatocyte","Can't Identify","No Match","The actual cell type is identified, but the prediction is not."
"Group","Liver","Digestive","query","hepatocyte","Can't Identify","No Match","The actual cell type is identified, but the prediction is not."
"Organ","Liver","Digestive","noquery","hepatocyte","Can't Identify","No Match","The prediction does not identify the hepatocyte cell type."
"Organ","Liver","Digestive","query","hepatocyte","Can't Identify","No Match","The prediction does not identify the hepatocyte cell type."
"All","Liver","Digestive","noquery","intrahepatic cholangiocyte","Hepatocytes","Partial Match","Hepatocytes and cholangiocytes are both liver cells, but distinct types."
"All","Liver","Digestive","query","intrahepatic cholangiocyte","Hepatocytes","Partial Match","Hepatocytes and cholangiocytes are both liver cells, but distinct types."
"Group","Liver","Digestive","noquery","intrahepatic cholangiocyte","Can't Identify","No Match","The prediction does not identify the cholangiocyte cell type."
"Group","Liver","Digestive","query","intrahepatic cholangiocyte","Can't Identify","No Match","The prediction does not identify the cholangiocyte cell type."
"Organ","Liver","Digestive","noquery","intrahepatic cholangiocyte","Endothelial Cells","No Match","Endothelial cells are distinct from intrahepatic cholangiocytes."
"Organ","Liver","Digestive","query","intrahepatic cholangiocyte","Endothelial Cells","No Match","Endothelial cells are distinct from intrahepatic cholangiocytes."
"All","Liver","Digestive","noquery","t cell","Hepatocytes","No Match","T cells are immune cells, whereas hepatocytes are liver cells; they do not correspond."
"All","Liver","Digestive","query","t cell","Hepatocytes","No Match","T cells are immune cells, whereas hepatocytes are liver cells; they do not correspond."
"Group","Liver","Digestive","noquery","t cell","Acute Phase Response Cells","No Match","The prediction and annotation describe different cell types."
"Group","Liver","Digestive","query","t cell","Acute Phase Response Cells","No Match","The prediction and annotation describe different cell types."
"Organ","Liver","Digestive","noquery","t cell","T Cells","Match","Both refer to the same cell type."
"Organ","Liver","Digestive","query","t cell","T Cells","Match","Both refer to the same cell type."
"All","Liver","Digestive","noquery","plasma cell","Plasma cells","Match","Both refer to the same cell type."
"All","Liver","Digestive","query","plasma cell","Hepatocytes","No Match","The prediction and annotation describe different cell types."
"Group","Liver","Digestive","noquery","plasma cell","Plasma cells","Match","Both refer to the same cell type."
"Group","Liver","Digestive","query","plasma cell","B cells","Partial Match","Plasma cells are a differentiated form of B cells."
"Organ","Liver","Digestive","noquery","plasma cell","B cells","Partial Match","Plasma cells are a differentiated form of B cells."
"Organ","Liver","Digestive","query","plasma cell","B cells","Partial Match","Plasma cells are a differentiated form of B cells."
"All","Liver","Digestive","noquery","endothelial cell","Hepatocytes","No Match","Hepatocytes are liver cells, not endothelial cells."
"All","Liver","Digestive","query","endothelial cell","Hepatocytes","No Match","Hepatocytes are liver cells, not endothelial cells."
"Group","Liver","Digestive","noquery","endothelial cell","Kupffer Cells","No Match","Kupffer cells are liver macrophages, not endothelial cells."
"Group","Liver","Digestive","query","endothelial cell","Kupffer Cells","No Match","Kupffer cells are liver macrophages, not endothelial cells."
"Organ","Liver","Digestive","noquery","endothelial cell","Can't Identify","No Match","Prediction could not identify endothelial cells."
"Organ","Liver","Digestive","query","endothelial cell","Can't Identify","No Match","Prediction could not identify endothelial cells."
"All","Liver","Digestive","noquery","erythrocyte","Can't Identify","No Match","Prediction could not identify erythrocytes."
"All","Liver","Digestive","query","erythrocyte","Hepatocytes","No Match","Hepatocytes are liver cells, not erythrocytes."
"Group","Liver","Digestive","noquery","erythrocyte","Erythrocytes","Match","The predicted and actual cell types are the same."
"Group","Liver","Digestive","query","erythrocyte","Erythrocytes","Match","The predicted and actual cell types are the same."
"Organ","Liver","Digestive","noquery","erythrocyte","Can't Identify","No Match","The prediction does not identify any cell type, not matching erythrocyte."
"Organ","Liver","Digestive","query","erythrocyte","Can't Identify","No Match","The prediction fails to correspond to erythrocyte."
"All","Trachea","RespiratoryImmune","noquery","macrophage","Dendritic cells","No Match","Macrophages and dendritic cells are distinct cell types."
"All","Trachea","RespiratoryImmune","query","macrophage","Can't Identify","No Match","The prediction provides no correspondence to macrophage."
"Group","Trachea","RespiratoryImmune","noquery","macrophage","Can't Identify","No Match","No identifiable correspondence with macrophage is provided."
"Group","Trachea","RespiratoryImmune","query","macrophage","Dendritic cells","No Match","Macrophage and dendritic cells represent different lineages."
"Organ","Trachea","RespiratoryImmune","noquery","macrophage","Macrophages","Match","The predicted and actual cell types directly correspond to each other."
"Organ","Trachea","RespiratoryImmune","query","macrophage","Macrophages","Match","Predicted cell type is the same as the actual cell type."
"All","Trachea","RespiratoryImmune","noquery","tracheal goblet cell","Goblet cells","Partial Match","Goblet cells is a broader category that includes tracheal goblet cells."
"All","Trachea","RespiratoryImmune","query","tracheal goblet cell","Goblet cells","Partial Match","The prediction is a general category that includes tracheal goblet cells."
"Group","Trachea","RespiratoryImmune","noquery","tracheal goblet cell","Can't Identify","No Match","Prediction fails to identify the specific cell type provided."
"Group","Trachea","RespiratoryImmune","query","tracheal goblet cell","Can't Identify","No Match","Prediction fails to identify the specific cell type provided."
"Organ","Trachea","RespiratoryImmune","noquery","tracheal goblet cell","Can't Identify","No Match","Prediction fails to identify the specific cell type provided."
"Organ","Trachea","RespiratoryImmune","query","tracheal goblet cell","Can't Identify","No Match","Prediction fails to identify the specific cell type provided."
"All","Trachea","RespiratoryImmune","noquery","fibroblast","Can't Identify","No Match","Prediction fails to identify the specific cell type provided."
"All","Trachea","RespiratoryImmune","query","fibroblast","Can't Identify","No Match","Prediction fails to identify the specific cell type provided."
"Group","Trachea","RespiratoryImmune","noquery","fibroblast","Can't Identify","No Match","Prediction fails to identify the specific cell type provided."
"Group","Trachea","RespiratoryImmune","query","fibroblast","Can't Identify","No Match","Prediction fails to identify the specific cell type provided."
"Organ","Trachea","RespiratoryImmune","noquery","fibroblast","Can't Identify","No Match","Prediction fails to identify the specific cell type provided."
"Organ","Trachea","RespiratoryImmune","query","fibroblast","Can't Identify","No Match","Prediction fails to identify the specific cell type provided."
"All","Trachea","RespiratoryImmune","noquery","endothelial cell","Can't Identify","No Match","The prediction does not correspond to any specific cell type."
"All","Trachea","RespiratoryImmune","query","endothelial cell","Can't Identify","No Match","The prediction does not correspond to any specific cell type."
"Group","Trachea","RespiratoryImmune","noquery","endothelial cell","Can't Identify","No Match","The prediction does not correspond to any specific cell type."
"Group","Trachea","RespiratoryImmune","query","endothelial cell","Can't Identify","No Match","The prediction does not correspond to any specific cell type."
"Organ","Trachea","RespiratoryImmune","noquery","endothelial cell","Endothelial Cells","Match","The predicted and actual cell types refer to the same concept."
"Organ","Trachea","RespiratoryImmune","query","endothelial cell","Endothelial Cells","Match","The predicted and actual cell types refer to the same concept."
"All","Trachea","RespiratoryImmune","noquery","smooth muscle cell","Can't Identify","No Match","The prediction does not correspond to any specific cell type."
"All","Trachea","RespiratoryImmune","query","smooth muscle cell","Can't Identify","No Match","The prediction does not correspond to any specific cell type."
"Group","Trachea","RespiratoryImmune","noquery","smooth muscle cell","Can't Identify","No Match","The prediction does not correspond to any specific cell type."
"Group","Trachea","RespiratoryImmune","query","smooth muscle cell","Can't Identify","No Match","The prediction does not correspond to any specific cell type."
"Organ","Trachea","RespiratoryImmune","noquery","smooth muscle cell","Can't Identify","No Match","The prediction fails to identify or relate to the annotated smooth muscle cell."
"Organ","Trachea","RespiratoryImmune","query","smooth muscle cell","Can't Identify","No Match","The prediction fails to identify or relate to the annotated smooth muscle cell."
"All","Trachea","RespiratoryImmune","noquery","ciliated cell","Can't Identify","No Match","The prediction fails to identify or relate to the annotated ciliated cell."
"All","Trachea","RespiratoryImmune","query","ciliated cell","Can't Identify","No Match","The prediction fails to identify or relate to the annotated ciliated cell."
"Group","Trachea","RespiratoryImmune","noquery","ciliated cell","Can't Identify","No Match","The prediction fails to identify or relate to the annotated ciliated cell."
"Group","Trachea","RespiratoryImmune","query","ciliated cell","Can't Identify","No Match","The prediction fails to identify or relate to the annotated ciliated cell."
"Organ","Trachea","RespiratoryImmune","noquery","ciliated cell","Can't Identify","No Match","The prediction fails to identify or relate to the annotated ciliated cell."
"Organ","Trachea","RespiratoryImmune","query","ciliated cell","Can't Identify","No Match","The prediction fails to identify or relate to the annotated ciliated cell."
"All","Trachea","RespiratoryImmune","noquery","secretory cell","Goblet Cell","Partial Match","Goblet cells are a specific type of secretory cell."
"All","Trachea","RespiratoryImmune","query","secretory cell","Goblet Cell","Partial Match","Goblet cells are a specific type of secretory cell."
"Group","Trachea","RespiratoryImmune","noquery","secretory cell","Can't Identify","No Match","Predicted cell type cannot be classified as secretory."
"Group","Trachea","RespiratoryImmune","query","secretory cell","Can't Identify","No Match","Predicted cell type cannot be classified as secretory."
"Organ","Trachea","RespiratoryImmune","noquery","secretory cell","Can't Identify","No Match","Predicted cell type cannot be classified as secretory."
"Organ","Trachea","RespiratoryImmune","query","secretory cell","Can't Identify","No Match","Predicted cell type cannot be classified as secretory."
"All","Trachea","RespiratoryImmune","noquery","t cell","Club cells","No Match","Club cells are not related to t cells."
"All","Trachea","RespiratoryImmune","query","t cell","Club cells","No Match","Club cells are not related to t cells."
"Group","Trachea","RespiratoryImmune","noquery","t cell","Can't Identify","No Match","Predicted cell type cannot be classified as t cell."
"Group","Trachea","RespiratoryImmune","query","t cell","Can't Identify","No Match","Predicted cell type cannot be classified as t cell."
"Organ","Trachea","RespiratoryImmune","noquery","t cell","T cells","Match","Predicted and actual cell types are phrased similarly."
"Organ","Trachea","RespiratoryImmune","query","t cell","T cells","Match","Predicted and actual cell types are phrased similarly."
"All","Trachea","RespiratoryImmune","noquery","basal cell","Can't Identify","No Match","""Can't Identify"" does not specify a cell type."
"All","Trachea","RespiratoryImmune","query","basal cell","Can't Identify","No Match","""Can't Identify"" does not specify a cell type."
"Group","Trachea","RespiratoryImmune","noquery","basal cell","Basal cells","Match","Both refer to the same cell type concept."
"Group","Trachea","RespiratoryImmune","query","basal cell","Basal cells","Match","Both refer to the same cell type concept."
"Organ","Trachea","RespiratoryImmune","noquery","basal cell","Basal cells","Match","Both refer to the same cell type concept."
"Organ","Trachea","RespiratoryImmune","query","basal cell","Basal cells","Match","Both refer to the same cell type concept."
"All","Trachea","RespiratoryImmune","noquery","mast cell","Mast cells","Match","Both refer to the same cell type concept."
"All","Trachea","RespiratoryImmune","query","mast cell","Mast cells","Match","Both refer to the same cell type concept."
"Group","Trachea","RespiratoryImmune","noquery","mast cell","Can't Identify","No Match","""Can't Identify"" does not specify a cell type."
"Group","Trachea","RespiratoryImmune","query","mast cell","Can't Identify","No Match","""Can't Identify"" does not specify a cell type."
"Organ","Trachea","RespiratoryImmune","noquery","mast cell","Can't Identify","No Match","""Can't Identify"" does not specify a recognizable cell type."
"Organ","Trachea","RespiratoryImmune","query","mast cell","Can't Identify","No Match","""Can't Identify"" does not specify a recognizable cell type."
"All","Trachea","RespiratoryImmune","noquery","mucus secreting cell","Goblet Cells","Match","Goblet cells are a specific type of mucus secreting cell."
"All","Trachea","RespiratoryImmune","query","mucus secreting cell","Goblet Cells","Match","Goblet cells are a specific type of mucus secreting cell."
"Group","Trachea","RespiratoryImmune","noquery","mucus secreting cell","Can't Identify","No Match","""Can't Identify"" does not specify a recognizable cell type."
"Group","Trachea","RespiratoryImmune","query","mucus secreting cell","Can't Identify","No Match","""Can't Identify"" does not specify a recognizable cell type."
"Organ","Trachea","RespiratoryImmune","noquery","mucus secreting cell","Can't Identify","No Match","""Can't Identify"" does not specify a recognizable cell type."
"Organ","Trachea","RespiratoryImmune","query","mucus secreting cell","Can't Identify","No Match","""Can't Identify"" does not specify a recognizable cell type."
"All","Trachea","RespiratoryImmune","noquery","plasma cell","B cell","Partial Match","Plasma cells are differentiated forms of B cells."
"All","Trachea","RespiratoryImmune","query","plasma cell","B cell","Partial Match","Plasma cells are differentiated forms of B cells."
"Group","Trachea","RespiratoryImmune","noquery","plasma cell","Can't Identify","No Match","The predicted result failed to recognize the well-defined cell type."
"Group","Trachea","RespiratoryImmune","query","plasma cell","Can't Identify","No Match","The predicted result failed to recognize the well-defined cell type."
