p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,6.962011545599849,0.829,0.012,0,All_Liver_Digestive_endothelial cell of hepatic sinusoid_query,CRHBP
0,9.865250149183234,0.612,0.001,0,All_Liver_Digestive_endothelial cell of hepatic sinusoid_query,OIT3
0,9.525878297094156,0.598,0.001,0,All_Liver_Digestive_endothelial cell of hepatic sinusoid_query,FCN2
0,6.58972792623902,0.539,0.007,0,All_Liver_Digestive_endothelial cell of hepatic sinusoid_query,CLEC4G
0,6.879122910632198,0.49,0.003,0,All_Liver_Digestive_endothelial cell of hepatic sinusoid_query,CLEC1B
0,9.333216141310714,0.412,0.001,0,All_Liver_Digestive_endothelial cell of hepatic sinusoid_query,CLEC4M
0,7.764154083031727,0.356,0.002,0,All_Liver_Digestive_endothelial cell of hepatic sinusoid_query,STAB2
0,7.564370335435104,0.232,0.001,0,All_Liver_Digestive_endothelial cell of hepatic sinusoid_query,GPR182
0,6.819488948428231,0.129,0.001,0,All_Liver_Digestive_endothelial cell of hepatic sinusoid_query,LINC02388
0,7.7509810286746585,0.129,0.001,0,All_Liver_Digestive_endothelial cell of hepatic sinusoid_query,AC010737.1
0,6.962011545599849,0.829,0.012,0,All_Liver_Digestive_endothelial cell of hepatic sinusoid_noquery,CRHBP
0,9.865250149183234,0.612,0.001,0,All_Liver_Digestive_endothelial cell of hepatic sinusoid_noquery,OIT3
0,9.525878297094156,0.598,0.001,0,All_Liver_Digestive_endothelial cell of hepatic sinusoid_noquery,FCN2
0,6.58972792623902,0.539,0.007,0,All_Liver_Digestive_endothelial cell of hepatic sinusoid_noquery,CLEC4G
0,6.879122910632198,0.49,0.003,0,All_Liver_Digestive_endothelial cell of hepatic sinusoid_noquery,CLEC1B
0,9.333216141310714,0.412,0.001,0,All_Liver_Digestive_endothelial cell of hepatic sinusoid_noquery,CLEC4M
0,7.764154083031727,0.356,0.002,0,All_Liver_Digestive_endothelial cell of hepatic sinusoid_noquery,STAB2
