p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,5.573692153185562,0.875,0.008,0,All_Liver_Digestive_liver dendritic cell_query,FGB
0,6.6394162830923475,0.562,0.007,0,All_Liver_Digestive_liver dendritic cell_query,FCER1A
0,8.654735545529993,0.156,0.001,0,All_Liver_Digestive_liver dendritic cell_query,PPY
0,10.276343933330404,0.125,0,0,All_Liver_Digestive_liver dendritic cell_query,LINC01724
1.4909803560118018e-192,6.93566430901404,0.281,0.003,8.777401355841478e-188,All_Liver_Digestive_liver dendritic cell_query,CLEC9A
7.370968915662315e-175,5.830120554656854,1,0.042,4.3392894006504044e-170,All_Liver_Digestive_liver dendritic cell_query,HLA-DRB5
8.266061228327612e-156,6.604450988589583,0.281,0.003,4.866230245116465e-151,All_Liver_Digestive_liver dendritic cell_query,CD1E
1.6719247830215933e-120,6.370124615030415,0.219,0.003,9.84262119764812e-116,All_Liver_Digestive_liver dendritic cell_query,XCR1
1.6196495495582206e-87,5.894978900276318,0.25,0.005,9.534876898249245e-83,All_Liver_Digestive_liver dendritic cell_query,AC092809.2
2.381830134713875e-52,6.08081504795372,0.125,0.002,1.402183400306058e-47,All_Liver_Digestive_liver dendritic cell_query,AL024509.2
0,5.573692153185562,0.875,0.008,0,All_Liver_Digestive_liver dendritic cell_noquery,FGB
0,6.6394162830923475,0.562,0.007,0,All_Liver_Digestive_liver dendritic cell_noquery,FCER1A
0,8.654735545529993,0.156,0.001,0,All_Liver_Digestive_liver dendritic cell_noquery,PPY
0,10.276343933330404,0.125,0,0,All_Liver_Digestive_liver dendritic cell_noquery,LINC01724
1.4909803560118018e-192,6.93566430901404,0.281,0.003,8.777401355841478e-188,All_Liver_Digestive_liver dendritic cell_noquery,CLEC9A
7.370968915662315e-175,5.830120554656854,1,0.042,4.3392894006504044e-170,All_Liver_Digestive_liver dendritic cell_noquery,HLA-DRB5
8.266061228327612e-156,6.604450988589583,0.281,0.003,4.866230245116465e-151,All_Liver_Digestive_liver dendritic cell_noquery,CD1E
1.6719247830215933e-120,6.370124615030415,0.219,0.003,9.84262119764812e-116,All_Liver_Digestive_liver dendritic cell_noquery,XCR1
1.6196495495582206e-87,5.894978900276318,0.25,0.005,9.534876898249245e-83,All_Liver_Digestive_liver dendritic cell_noquery,AC092809.2
2.381830134713875e-52,6.08081504795372,0.125,0.002,1.402183400306058e-47,All_Liver_Digestive_liver dendritic cell_noquery,AL024509.2
0,7.036464197510486,0.562,0.006,0,Group_Liver_Digestive_liver dendritic cell_query,FCER1A
0,10.492668180963774,0.125,0,0,Group_Liver_Digestive_liver dendritic cell_query,LINC01724
2.3749018039235046e-202,7.769025405391794,0.156,0.001,1.398104691969767e-197,Group_Liver_Digestive_liver dendritic cell_query,PPY
9.393644799412733e-167,6.764549060114978,0.219,0.002,5.530038693414276e-162,Group_Liver_Digestive_liver dendritic cell_query,XCR1
2.031757024909312e-145,6.570469402380029,0.25,0.003,1.196095360564112e-140,Group_Liver_Digestive_liver dendritic cell_query,AC092809.2
