p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,4.7075519513881074,0.805,0.048,0,All_Liver_Digestive_monocyte_query,CD300E
0,4.523996004257249,0.82,0.067,0,All_Liver_Digestive_monocyte_query,EREG
0,4.710666877597687,0.704,0.041,0,All_Liver_Digestive_monocyte_query,HLA-DRB5
0,4.54609274844564,0.683,0.043,0,All_Liver_Digestive_monocyte_query,OSM
0,4.358078113200188,0.481,0.035,0,All_Liver_Digestive_monocyte_query,LILRA1
0,4.882975133726431,0.445,0.023,0,All_Liver_Digestive_monocyte_query,ADGRE1
0,5.109622720497587,0.345,0.007,0,All_Liver_Digestive_monocyte_query,APOA2
0,4.414015013520773,0.317,0.022,0,All_Liver_Digestive_monocyte_query,AC112496.1
0,5.76116749500569,0.207,0.007,0,All_Liver_Digestive_monocyte_query,SYN1
4.17372370478056e-276,4.659263887476969,0.17,0.012,2.457071145004316e-271,All_Liver_Digestive_monocyte_query,METTL7B
0,5.200479835074205,0.805,0.033,0,All_Liver_Digestive_monocyte_noquery,CD300E
0,4.582525376346542,0.82,0.063,0,All_Liver_Digestive_monocyte_noquery,EREG
0,4.691051163999894,0.704,0.041,0,All_Liver_Digestive_monocyte_noquery,HLA-DRB5
0,4.522983213117628,0.683,0.044,0,All_Liver_Digestive_monocyte_noquery,OSM
0,4.792800517712916,0.481,0.025,0,All_Liver_Digestive_monocyte_noquery,LILRA1
0,5.375658143898666,0.445,0.016,0,All_Liver_Digestive_monocyte_noquery,ADGRE1
0,5.075245057058041,0.345,0.007,0,All_Liver_Digestive_monocyte_noquery,APOA2
0,4.4081063983039,0.317,0.021,0,All_Liver_Digestive_monocyte_noquery,AC112496.1
0,5.766010686777978,0.207,0.007,0,All_Liver_Digestive_monocyte_noquery,SYN1
4.688401510952067e-287,4.70762349702587,0.17,0.012,2.760061969497482e-282,All_Liver_Digestive_monocyte_noquery,METTL7B
0,6.304281453160636,0.863,0.022,0,Group_Liver_Digestive_monocyte_query,LILRA5
0,5.3970609582048015,0.831,0.032,0,Group_Liver_Digestive_monocyte_query,FCN1
0,5.784410647301677,0.805,0.022,0,Group_Liver_Digestive_monocyte_query,CD300E
0,6.077387923662084,0.481,0.012,0,Group_Liver_Digestive_monocyte_query,LILRA1
0,5.695457274900239,0.473,0.013,0,Group_Liver_Digestive_monocyte_query,FPR2
0,6.340470301805567,0.445,0.008,0,Group_Liver_Digestive_monocyte_query,ADGRE1
0,5.846435532596286,0.288,0.008,0,Group_Liver_Digestive_monocyte_query,SLC24A4
0,6.181647617105926,0.207,0.004,0,Group_Liver_Digestive_monocyte_query,SYN1
0,5.914482912650608,0.162,0.004,0,Group_Liver_Digestive_monocyte_query,CFP
0,5.4862531231993295,0.102,0.003,0,Group_Liver_Digestive_monocyte_query,CLEC4D
0,6.337734191109988,0.863,0.021,0,Group_Liver_Digestive_monocyte_noquery,LILRA5
0,5.535411172343512,0.831,0.03,0,Group_Liver_Digestive_monocyte_noquery,FCN1
0,5.844562751004686,0.805,0.021,0,Group_Liver_Digestive_monocyte_noquery,CD300E
0,6.1778551392917045,0.481,0.011,0,Group_Liver_Digestive_monocyte_noquery,LILRA1
0,5.7557989919797805,0.473,0.013,0,Group_Liver_Digestive_monocyte_noquery,FPR2
0,6.358360519000117,0.445,0.007,0,Group_Liver_Digestive_monocyte_noquery,ADGRE1
0,6.103454570588494,0.288,0.007,0,Group_Liver_Digestive_monocyte_noquery,SLC24A4
0,6.1720096281587615,0.207,0.004,0,Group_Liver_Digestive_monocyte_noquery,SYN1
0,5.975143623739387,0.162,0.004,0,Group_Liver_Digestive_monocyte_noquery,CFP
0,5.6063982563903325,0.102,0.003,0,Group_Liver_Digestive_monocyte_noquery,CLEC4D
1.1230740594460728e-280,4.0390656647259995,0.572,0.068,6.61153698795903e-276,Organ_Liver_Digestive_monocyte_query,S100A12
1.2431032007070537e-268,3.7837063972669043,0.514,0.049,7.318148542562425e-264,Organ_Liver_Digestive_monocyte_query,APOBEC3A
2.1487245537292532e-215,4.29244276119654,0.364,0.025,1.2649541447804114e-210,Organ_Liver_Digestive_monocyte_query,AL034397.3
6.665649672492314e-191,3.177886167191586,0.481,0.072,3.9240679621962254e-186,Organ_Liver_Digestive_monocyte_query,LILRA1
4.3897058654452655e-162,3.6632261043788903,0.367,0.045,2.5842198429876277e-157,Organ_Liver_Digestive_monocyte_query,SELL
8.259424680421847e-152,4.002995824465835,0.293,0.026,4.8623233093643417e-147,Organ_Liver_Digestive_monocyte_query,SERPINB2
