p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,6.342055672557292,0.944,0.011,0,All_Liver_Digestive_nk cell_query,FGA
0,6.323184479554698,0.935,0.007,0,All_Liver_Digestive_nk cell_query,FGB
0,5.624284145655453,0.87,0.022,0,All_Liver_Digestive_nk cell_query,TRDC
0,6.2062939697085735,0.697,0.007,0,All_Liver_Digestive_nk cell_query,APOA2
0,6.414106374662289,0.68,0.005,0,All_Liver_Digestive_nk cell_query,CRP
0,5.5033185682851915,0.632,0.01,0,All_Liver_Digestive_nk cell_query,APOC3
0,5.642932931145131,0.476,0.009,0,All_Liver_Digestive_nk cell_query,ITIH3
0,5.5168943434266975,0.273,0.005,0,All_Liver_Digestive_nk cell_query,GC
0,5.743346619789269,0.221,0.006,0,All_Liver_Digestive_nk cell_query,CSF2
5.04811558e-315,6.104732747551007,0.108,0.002,2.97182564093457e-310,All_Liver_Digestive_nk cell_query,RDM1
0,6.316182179196865,0.944,0.011,0,All_Liver_Digestive_nk cell_noquery,FGA
0,6.297855290417676,0.935,0.007,0,All_Liver_Digestive_nk cell_noquery,FGB
0,5.886287423480973,0.883,0.019,0,All_Liver_Digestive_nk cell_noquery,KLRF1
0,6.0871685939186335,0.87,0.015,0,All_Liver_Digestive_nk cell_noquery,TRDC
0,6.181159554377379,0.697,0.008,0,All_Liver_Digestive_nk cell_noquery,APOA2
0,6.388685129179644,0.68,0.005,0,All_Liver_Digestive_nk cell_noquery,CRP
0,6.039893483356728,0.394,0.006,0,All_Liver_Digestive_nk cell_noquery,SH2D1B
0,5.9144282986736405,0.355,0.005,0,All_Liver_Digestive_nk cell_noquery,NCR1
0,5.850339929497308,0.221,0.006,0,All_Liver_Digestive_nk cell_noquery,CSF2
0,6.158227649868659,0.108,0.002,0,All_Liver_Digestive_nk cell_noquery,RDM1
0,7.477766878753416,0.883,0.008,0,Group_Liver_Digestive_nk cell_query,KLRF1
0,7.193396491760981,0.87,0.008,0,Group_Liver_Digestive_nk cell_query,TRDC
0,6.814880725897513,0.584,0.01,0,Group_Liver_Digestive_nk cell_query,S1PR5
0,7.30988919584181,0.394,0.003,0,Group_Liver_Digestive_nk cell_query,SH2D1B
0,7.706762029059043,0.355,0.002,0,Group_Liver_Digestive_nk cell_query,NCR1
0,6.00739033080607,0.316,0.005,0,Group_Liver_Digestive_nk cell_query,TOGARAM2
0,7.603738158114152,0.264,0.001,0,Group_Liver_Digestive_nk cell_query,MLC1
0,6.777532437532576,0.221,0.002,0,Group_Liver_Digestive_nk cell_query,CSF2
0,5.872095820096645,0.143,0.003,0,Group_Liver_Digestive_nk cell_query,AC006033.2
6.381857155139062e-278,5.998330805123086,0.108,0.002,3.756999307230366e-273,Group_Liver_Digestive_nk cell_query,RDM1
0,8.487157254195624,0.883,0.005,0,Group_Liver_Digestive_nk cell_noquery,KLRF1
0,7.43536371128687,0.87,0.007,0,Group_Liver_Digestive_nk cell_noquery,TRDC
0,7.171453838686297,0.584,0.009,0,Group_Liver_Digestive_nk cell_noquery,S1PR5
0,8.123224705871138,0.394,0.002,0,Group_Liver_Digestive_nk cell_noquery,SH2D1B
0,8.531893339696893,0.355,0.001,0,Group_Liver_Digestive_nk cell_noquery,NCR1
0,6.089533330494182,0.316,0.005,0,Group_Liver_Digestive_nk cell_noquery,TOGARAM2
0,8.107570725248928,0.264,0.001,0,Group_Liver_Digestive_nk cell_noquery,MLC1
0,6.813028220398773,0.221,0.002,0,Group_Liver_Digestive_nk cell_noquery,CSF2
0,5.996500994920622,0.143,0.002,0,Group_Liver_Digestive_nk cell_noquery,AC006033.2
1.2198305906816917e-276,5.991809490668995,0.108,0.002,7.181142687343118e-272,Group_Liver_Digestive_nk cell_noquery,RDM1
0,8.793277720793698,0.87,0.002,0,Organ_Liver_Digestive_nk cell_query,TRDC
0,9.512069005876878,0.593,0.001,0,Organ_Liver_Digestive_nk cell_query,KLRC1
0,8.942174738441043,0.398,0.001,0,Organ_Liver_Digestive_nk cell_query,GNLY
0,10.225617833956154,0.394,0,0,Organ_Liver_Digestive_nk cell_query,SH2D1B
0,8.165049532557418,0.368,0.001,0,Organ_Liver_Digestive_nk cell_query,AC017104.1
0,8.66829691643788,0.355,0.001,0,Organ_Liver_Digestive_nk cell_query,NCR1
7.493271557850058e-294,8.111382200266295,0.316,0.001,4.411288966106329e-289,Organ_Liver_Digestive_nk cell_query,TOGARAM2
1.8110571207410345e-280,7.739987096848407,0.303,0.001,1.066169326980247e-275,Organ_Liver_Digestive_nk cell_query,FGFBP2
1.386372695127432e-253,10.285444433851733,0.255,0,8.161576056215191e-249,Organ_Liver_Digestive_nk cell_query,AL359962.2
2.740496800053555e-205,7.545902081237817,0.221,0.001,1.6133304661915279e-200,Organ_Liver_Digestive_nk cell_query,CSF2
0,8.793277720793698,0.87,0.002,0,Organ_Liver_Digestive_nk cell_noquery,TRDC
0,9.512069005876878,0.593,0.001,0,Organ_Liver_Digestive_nk cell_noquery,KLRC1
0,8.942174738441043,0.398,0.001,0,Organ_Liver_Digestive_nk cell_noquery,GNLY
0,10.225617833956154,0.394,0,0,Organ_Liver_Digestive_nk cell_noquery,SH2D1B
0,8.165049532557418,0.368,0.001,0,Organ_Liver_Digestive_nk cell_noquery,AC017104.1
0,8.66829691643788,0.355,0.001,0,Organ_Liver_Digestive_nk cell_noquery,NCR1
7.493271557850058e-294,8.111382200266295,0.316,0.001,4.411288966106329e-289,Organ_Liver_Digestive_nk cell_noquery,TOGARAM2
1.8110571207410345e-280,7.739987096848407,0.303,0.001,1.066169326980247e-275,Organ_Liver_Digestive_nk cell_noquery,FGFBP2
1.386372695127432e-253,10.285444433851733,0.255,0,8.161576056215191e-249,Organ_Liver_Digestive_nk cell_noquery,AL359962.2
2.740496800053555e-205,7.545902081237817,0.221,0.001,1.6133304661915279e-200,Organ_Liver_Digestive_nk cell_noquery,CSF2
